Order_ID,Order_Date,Customer_ID,Customer_Name,City,State,Region,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Salesperson,Payment_Mode,NetSales
O00001,27-09-2024,C0103,Customer 103,Thane,Maharashtra,West,P013,Webcam,Electronics,2,4200,8%,Arjun,Credit Card,7728
O00002,28-03-2024,C0215,Customer 215,Chennai,Tamil Nadu,South,P011,Notebook,Office Supplies,1,180,0%,Rahul,UPI,180
O00003,17-02-2025,C0002,Customer 2,Jaipur,Rajasthan,North,P012,Backpack,Accessories,1,2200,0%,Vikram,Debit Card,2200
O00004,14-07-2025,C0058,Customer 58,Surat,Gujarat,West,P013,Webcam,Electronics,2,4200,5%,Karan,UPI,7980
O00005,17-11-2025,C0208,Customer 208,Bhubaneswar,Odisha,East,P014,External SSD,Electronics,2,8500,5%,Priya,Credit Card,16150
O00006,08-10-2025,C0131,Customer 131,Ahmedabad,Gujarat,West,P003,Tablet,Electronics,1,18000,0%,Priya,Net Banking,18000
O00007,11-12-2024,C0014,Customer 14,Pune,Maharashtra,West,P010,Printer,Office Supplies,1,11500,8%,Arjun,Debit Card,10580
O00008,04-02-2024,C0172,Customer 172,Kochi,Kerala,South,P008,Office Chair,Furniture,4,12500,2%,Karan,Debit Card,49000
O00009,21-04-2025,C0134,Customer 134,Surat,Gujarat,West,P010,Printer,Office Supplies,5,11500,10%,Neha,Credit Card,51750
O00010,27-09-2024,C0228,Customer 228,Kolkata,West Bengal,East,P015,USB Hub,Accessories,1,1400,0%,Amit,Cash,1400
O00011,22-02-2024,C0213,Customer 213,Kochi,Kerala,South,P002,Smartphone,Electronics,2,28000,20%,Priya,Credit Card,44800
O00012,05-03-2024,C0041,Customer 41,Kochi,Kerala,South,P015,USB Hub,Accessories,1,1400,5%,Amit,UPI,1330
O00013,13-05-2025,C0216,Customer 216,Bhubaneswar,Odisha,East,P011,Notebook,Office Supplies,2,180,8%,Amit,Debit Card,331.2
O00014,10-02-2024,C0234,Customer 234,Delhi,Delhi,North,P010,Printer,Office Supplies,4,11500,10%,Priya,UPI,41400
O00015,27-07-2025,C0048,Customer 48,Delhi,Delhi,North,P007,Headphones,Accessories,1,3200,8%,Karan,UPI,2944
O00016,04-09-2025,C0035,Customer 35,Mumbai,Maharashtra,West,P003,Tablet,Electronics,5,18000,10%,Vikram,Credit Card,81000
O00017,27-01-2025,C0142,Customer 142,Delhi,Delhi,North,P011,Notebook,Office Supplies,2,180,0%,Priya,UPI,360
O00018,17-07-2025,C0063,Customer 63,Delhi,Delhi,North,P001,Laptop,Electronics,2,55000,8%,Vikram,UPI,101200
O00019,24-06-2025,C0237,Customer 237,Bhubaneswar,Odisha,East,P011,Notebook,Office Supplies,1,180,0%,Rahul,Debit Card,180
O00020,10-07-2025,C0028,Customer 28,Pune,Maharashtra,West,P010,Printer,Office Supplies,1,11500,0%,Priya,Net Banking,11500
O00021,26-11-2024,C0044,Customer 44,Thane,Maharashtra,West,P014,External SSD,Electronics,1,8500,0%,Amit,UPI,8500
O00022,09-10-2024,C0225,Customer 225,Mumbai,Maharashtra,West,P009,Desk,Furniture,1,16000,10%,Amit,UPI,14400
O00023,10-10-2025,C0198,Customer 198,Jaipur,Rajasthan,North,P011,Notebook,Office Supplies,2,180,8%,Neha,UPI,331.2
O00024,02-11-2025,C0207,Customer 207,Chennai,Tamil Nadu,South,P006,Mouse,Accessories,2,950,8%,Amit,UPI,1748
O00025,24-05-2025,C0186,Customer 186,Thane,Maharashtra,West,P012,Backpack,Accessories,2,2200,8%,Vikram,UPI,4048
O00026,02-01-2024,C0081,Customer 81,Chennai,Tamil Nadu,South,P001,Laptop,Electronics,2,55000,0%,Vikram,UPI,110000
O00027,09-05-2024,C0129,Customer 129,Nashik,Maharashtra,West,P014,External SSD,Electronics,2,8500,5%,Sneha,UPI,16150
O00028,02-07-2024,C0068,Customer 68,Delhi,Delhi,North,P011,Notebook,Office Supplies,1,180,8%,Karan,Credit Card,165.6
O00029,25-05-2025,C0098,Customer 98,Surat,Gujarat,West,P006,Mouse,Accessories,1,950,10%,Priya,Credit Card,855
O00030,21-10-2025,C0208,Customer 208,Kochi,Kerala,South,P003,Tablet,Electronics,1,18000,2%,Neha,Credit Card,17640
O00031,03-05-2025,C0147,Customer 147,Thane,Maharashtra,West,P007,Headphones,Accessories,2,3200,5%,Neha,Net Banking,6080
O00032,17-04-2025,C0011,Customer 11,Hyderabad,Telangana,South,P009,Desk,Furniture,1,16000,5%,Neha,UPI,15200
O00033,25-07-2025,C0144,Customer 144,Bengaluru,Karnataka,South,P009,Desk,Furniture,1,16000,20%,Sneha,Net Banking,12800
O00034,09-01-2024,C0037,Customer 37,Chennai,Tamil Nadu,South,P007,Headphones,Accessories,1,3200,8%,Karan,Net Banking,2944
O00035,03-11-2025,C0152,Customer 152,Surat,Gujarat,West,P008,Office Chair,Furniture,2,12500,0%,Karan,Debit Card,25000
O00036,14-08-2024,C0104,Customer 104,Thane,Maharashtra,West,P014,External SSD,Electronics,1,8500,15%,Amit,UPI,7225
O00037,06-12-2025,C0128,Customer 128,Kolkata,West Bengal,East,P002,Smartphone,Electronics,2,28000,8%,Amit,UPI,51520
O00038,03-10-2024,C0068,Customer 68,Mumbai,Maharashtra,West,P014,External SSD,Electronics,1,8500,5%,Karan,Net Banking,8075
O00039,14-04-2025,C0145,Customer 145,Mumbai,Maharashtra,West,P012,Backpack,Accessories,1,2200,2%,Sneha,Cash,2156
O00040,09-10-2024,C0051,Customer 51,Surat,Gujarat,West,P008,Office Chair,Furniture,1,12500,5%,Amit,Credit Card,11875
O00041,20-10-2025,C0192,Customer 192,Mumbai,Maharashtra,West,P005,Keyboard,Accessories,2,1800,10%,Karan,UPI,3240
O00042,15-02-2024,C0220,Customer 220,Kolkata,West Bengal,East,P013,Webcam,Electronics,4,4200,5%,Amit,Cash,15960
O00043,29-06-2024,C0093,Customer 93,Mumbai,Maharashtra,West,P014,External SSD,Electronics,2,8500,20%,Priya,UPI,13600
O00044,12-09-2024,C0213,Customer 213,Delhi,Delhi,North,P001,Laptop,Electronics,2,55000,5%,Neha,Net Banking,104500
O00045,16-11-2025,C0058,Customer 58,Nashik,Maharashtra,West,P008,Office Chair,Furniture,1,12500,8%,Sneha,Credit Card,11500
O00046,20-01-2025,C0127,Customer 127,Chennai,Tamil Nadu,South,P010,Printer,Office Supplies,1,11500,10%,Amit,Debit Card,10350
O00047,12-11-2025,C0176,Customer 176,Delhi,Delhi,North,P013,Webcam,Electronics,3,4200,10%,Amit,Debit Card,11340
O00048,05-02-2024,C0060,Customer 60,Bengaluru,Karnataka,South,P007,Headphones,Accessories,3,3200,8%,Karan,Credit Card,8832
O00049,15-04-2025,C0142,Customer 142,Hyderabad,Telangana,South,P003,Tablet,Electronics,1,18000,8%,Karan,Credit Card,16560
O00050,28-11-2025,C0086,Customer 86,Nashik,Maharashtra,West,P009,Desk,Furniture,2,16000,2%,Neha,Net Banking,31360
O00051,23-02-2024,C0049,Customer 49,Thane,Maharashtra,West,P010,Printer,Office Supplies,2,11500,5%,Karan,Debit Card,21850
O00052,12-04-2024,C0236,Customer 236,Hyderabad,Telangana,South,P005,Keyboard,Accessories,1,1800,0%,Priya,Credit Card,1800
O00053,17-10-2025,C0099,Customer 99,Delhi,Delhi,North,P008,Office Chair,Furniture,5,12500,5%,Sneha,UPI,59375
O00054,26-08-2025,C0120,Customer 120,Bhubaneswar,Odisha,East,P003,Tablet,Electronics,2,18000,2%,Neha,Cash,35280
O00055,02-10-2025,C0023,Customer 23,Bhubaneswar,Odisha,East,P009,Desk,Furniture,1,16000,0%,Neha,UPI,16000
O00056,24-08-2024,C0118,Customer 118,Lucknow,Uttar Pradesh,North,P008,Office Chair,Furniture,1,12500,15%,Arjun,Debit Card,10625
O00057,03-09-2024,C0069,Customer 69,Surat,Gujarat,West,P013,Webcam,Electronics,1,4200,5%,Rahul,Debit Card,3990
O00058,07-08-2024,C0185,Customer 185,Kochi,Kerala,South,P014,External SSD,Electronics,1,8500,0%,Sneha,Cash,8500
O00059,18-04-2025,C0197,Customer 197,Hyderabad,Telangana,South,P010,Printer,Office Supplies,2,11500,5%,Amit,Credit Card,21850
O00060,05-06-2025,C0101,Customer 101,Delhi,Delhi,North,P010,Printer,Office Supplies,5,11500,15%,Priya,Credit Card,48875
O00061,30-08-2025,C0250,Customer 250,Nashik,Maharashtra,West,P010,Printer,Office Supplies,3,11500,8%,Priya,Debit Card,31740
O00062,11-05-2025,C0080,Customer 80,Delhi,Delhi,North,P002,Smartphone,Electronics,3,28000,8%,Priya,Credit Card,77280
O00063,28-06-2025,C0178,Customer 178,Nashik,Maharashtra,West,P012,Backpack,Accessories,2,2200,5%,Vikram,Debit Card,4180
O00064,12-02-2024,C0065,Customer 65,Mumbai,Maharashtra,West,P008,Office Chair,Furniture,1,12500,0%,Arjun,Credit Card,12500
O00065,27-12-2025,C0243,Customer 243,Pune,Maharashtra,West,P003,Tablet,Electronics,1,18000,2%,Neha,Debit Card,17640
O00066,14-07-2024,C0162,Customer 162,Nashik,Maharashtra,West,P009,Desk,Furniture,2,16000,5%,Rahul,Net Banking,30400
O00067,06-11-2025,C0164,Customer 164,Lucknow,Uttar Pradesh,North,P005,Keyboard,Accessories,1,1800,10%,Karan,Credit Card,1620
O00068,05-04-2024,C0099,Customer 99,Thane,Maharashtra,West,P002,Smartphone,Electronics,1,28000,15%,Vikram,UPI,23800
O00069,04-08-2024,C0183,Customer 183,Kochi,Kerala,South,P007,Headphones,Accessories,1,3200,5%,Amit,Credit Card,3040
O00070,31-01-2025,C0112,Customer 112,Lucknow,Uttar Pradesh,North,P006,Mouse,Accessories,4,950,5%,Priya,Cash,3610
